step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.0002, 1484744.8666106071, 37371.47632434667, 1.2745634168957154, 2718457033191.6606, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1845373.1193912982, 25052.39655881595, 1.6298288167526465, 4478495303959.661, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1091590.4494692513, 17963.983022557448, 1.5616598088417606, 1452295071935.4854, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 536238.5955724949, 19755.885939565927, 0.8808065731585087, 2435003597122.334, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 536238.2193418329, 19756.269325376034, 1.3999511941056313, 2435003597123.6807, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1645340.5743040035, 16785.86772363007, 1.1856841903322857, 4938771080958.657, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 503007.9981788664, 45110.162482276224, 0.2815966055337674, 1756817103565.1895, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1738188.9844175805, 6628.41201490002, 0.7072902683065062, 2154798873312.4766, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1524097.0038350637, 21981.241959940195, 2.0, 4648585291491.076, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1524094.8792230426, 21981.712841604927, 1.6994254473500976, 4648585291491.162, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1098874.5330849525, 3312.7552567367775, 1.103597122578172, 2366819862239.285, 7.5e-08]"
0,"[0.5480396498994602, 1.6169086351400762e-13]","[0.01, 0.001, 850314.1969955385, 27016.75865329925, 0.712110027068784, 2386666525447.5137, 5e-10]"
0,"[1000000, 1000000]","[0.07357773334880921, 0.0002, 1488311.3914182913, 49473.42026949862, 0.1, 2427491043914.9297, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1735495.884024836, 38804.395972243736, 2.0, 3473371418168.2544, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1401652.0180580134, 19854.444532598183, 2.0, 4568045114540.726, 5e-10]"
0,"[1000000, 1000000]","[0.012016972282326982, 0.001, 1488311.086551195, 49471.726186179265, 0.34303316331335126, 2427491043913.008, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1091590.3113221, 17963.478798229437, 1.1864190406735609, 1452295071934.7979, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1224129.821240187, 19229.638310307742, 1.2949187204499606, 4279857562953.8477, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1610861.98818214, 25694.220045373542, 1.2294019205219449, 3979720627088.502, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 536237.8561168254, 19755.526086091097, 0.6833213433964873, 2435003597123.451, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 850314.0800928416, 27016.53830997388, 1.2537376215390914, 2386666525447.51, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 412120.0604166451, 44722.026485074784, 2.0, 3118528273122.482, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 877959.9134827876, 47745.53484069551, 0.7989981879082857, 405493332138.2457, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 877959.0350536228, 47744.7382401425, 0.1, 405493332137.6443, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1130698.461519592, 5940.111175142418, 1.0202828303128584, 4996675241938.046, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 771267.8520527857, 32749.564597877026, 1.2166739581721369, 1007797173149.7866, 7.5e-08]"
