step,fitness,genome
0,"[1000000, 1000000]","[0.06479367486280677, 0.001, 518876.3408744665, 32027.91364479674, 1.4489341186117275, 3739662453218.3296, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1451192.2848086953, 49652.45826763431, 0.4972183915144909, 2792611679327.468, 5e-10]"
0,"[0.20643670407562184, 4.263328081122175e-11]","[0.01, 0.0002, 1617329.2055767786, 21242.797893995194, 1.3151142402076341, 3074837114440.8945, 7.5e-08]"
0,"[0.07975865639494686, 3.3513682796146652e-12]","[0.01, 0.0002, 1782458.1643681366, 21116.758520376276, 1.1801442096193557, 851403968386.8712, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1049370.9711026617, 41004.947611650154, 0.3104084536747507, 439543218140.11975, 7.5e-08]"
0,"[0.08543521434660159, 3.8358032781972073e-13]","[0.01, 0.0002, 1424676.4555667278, 18903.433160527034, 0.8520311888017815, 273564540181.5226, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1089713.5569774066, 13040.039470473552, 0.4432080364625175, 361805717751.6853, 5e-10]"
0,"[0.08011643984506277, 6.689281529062043e-12]","[0.01, 0.0002, 1400379.4301527073, 13931.79926430562, 0.7793994369818504, 1216318443377.8281, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1857301.229507952, 38648.7009707564, 0.5735514503379757, 2668465916028.89, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1695118.7437575217, 16296.799811524937, 1.117602196120598, 2292897067292.471, 7.5e-08]"
0,"[1.4586930936425835, 1.9317587386891112e-13]","[0.01, 0.0002, 994141.596381299, 35943.612593401085, 0.1, 2668964559307.539, 5e-10]"
0,"[0.12356817172755118, 2.1084578675362177e-11]","[0.01, 0.0002, 1290386.0542109953, 5714.23087843278, 0.7534325122493484, 2163937604830.5938, 7.5e-08]"
0,"[0.05808339839033907, 6.667555285449697e-12]","[0.01, 0.001, 1400380.135729541, 13931.246564651026, 2.0, 1216318443377.5908, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 350724.3733829831, 48899.41521730604, 1.5404700001345009, 4122564841715.444, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1400380.1392715117, 13931.189546590695, 1.9167292122703148, 1216318443376.89, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 518876.3917538852, 32027.455567361925, 0.3528599580991375, 3739662453217.314, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 362444.279409588, 43827.623150490785, 2.0, 2988495711887.3203, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 796845.8041219091, 35221.4967338941, 1.7428564141363672, 645101436481.0221, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1880191.596228196, 7906.640523369598, 0.5416557902459179, 718283397488.6754, 7.5e-08]"
