step,fitness,genome
0,"[1000000, 1000000]","[0.01, 0.0002, 1556345.7896344003, 32170.177997879793, 0.9108067301177774, 4562384774359.421, 5e-10]"
0,"[1000000, 1000000]","[0.07349400656971355, 0.0002, 823125.2349629827, 46246.8916242644, 0.6405522356925599, 2243339110337.9033, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 570776.5742934942, 14013.605916258455, 0.8729009189172136, 4577698797523.077, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1473779.6652601731, 24543.932457187864, 0.1, 1993595443219.8328, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1863136.117241087, 39154.502419736826, 2.0, 1738184696177.5293, 5e-10]"
0,"[0.09457998495748446, 6.9021741534464745e-12]","[0.01, 0.001, 1864231.0076752377, 48833.981148633975, 2.0, 1224604376397.944, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1647484.3730488513, 15134.918633361654, 1.2452198634150653, 4169265044665.853, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 821757.2228185374, 14437.978464750495, 0.33889025824657776, 702648064627.933, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1429261.3140508034, 20578.38342662044, 0.1, 4012076145251.897, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1297686.6093739606, 46695.45888430092, 1.1469396559185379, 1447106652508.2888, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1523954.986881403, 40059.510458454555, 1.8088601616855775, 1063907397960.8762, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1100449.827642109, 6904.09329114836, 2.0, 326807686645.5457, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1049293.0015238086, 32072.83848517634, 2.0, 3101682889615.5503, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1858044.9261665957, 35419.746266168186, 0.1, 2814310592629.3564, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1049292.9414427553, 32073.50016142527, 0.5648305919573864, 3101682889614.2217, 5e-10]"
0,"[0.07331658554610096, 5.0518667774231143e-11]","[0.01, 0.001, 505925.5847441918, 45923.23897594753, 0.1, 3342551151699.0073, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1604161.4391684637, 18986.496781069833, 1.2260727216344058, 1490931803503.5217, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1556345.9285359709, 32169.456772119636, 1.3365529150401432, 4562384774358.508, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1485217.125482005, 2439.6155698187918, 0.37097568526775476, 456502174493.1299, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1912094.1138026202, 26703.705493116842, 0.6264881771226147, 1230137991026.51, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1473780.2902072142, 24543.504501417538, 0.4326085121902729, 1993595443218.7388, 5e-10]"
0,"[1000000, 1000000]","[0.08476803428216251, 0.001, 678635.3552879365, 45079.75112146616, 0.8914778500457106, 4526820254168.808, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1604159.996136749, 18985.8881993606, 1.2779155501620265, 1490931803504.354, 5e-10]"
