Wall time,Step,Value
1697665738.0461385,500,-459.0
1697667179.7091136,1000,-927.0
1697668668.260279,1500,-1392.0
1697670231.869099,2000,-1861.0
1697670400.7749245,2048,-1903.0
1697671762.6834178,2500,-424.0
1697673293.1291015,3000,-903.0
1697674861.4953456,3500,-1368.0
1697676496.5385666,4000,-1824.0
1697676799.1183763,4096,-1915.0
1697678038.9972124,4500,-380.0
1697679665.3146453,5000,-842.0
1697681289.511437,5500,-1309.0
1697682871.5258555,6000,-1779.0
1697683309.4593718,6144,-1912.0
1697684529.222813,6500,-316.0
1697686205.135058,7000,-772.0
1697687831.0890763,7500,-1233.0
1697689444.1330228,8000,-1700.0
1697690091.0931137,8192,-1875.0
1697691103.6977627,8500,-289.0
1697692798.5592942,9000,-751.0
1697694492.4019825,9500,-1213.0
1697696211.0929272,10000,-1677.0
1697697025.6613262,10240,-1897.0
1697698003.8670416,10500,-227.0
1697699696.0754273,11000,-683.0
1697701383.2292342,11500,-1149.0
1697703124.1937711,12000,-1610.0
1697704097.490356,12288,-1881.0
1697704815.8459582,12500,-192.0
1697706494.8803988,13000,-647.0
1697708174.928777,13500,-1113.0
1697709848.3630311,14000,-1572.0
1697711022.0618105,14336,-1876.0
1697711565.7561784,14500,-158.0
1697713184.2380283,15000,-623.0
1697714833.4250152,15500,-1089.0
1697716507.779133,16000,-1553.0
1697717840.2222514,16384,-1905.0
1697718212.6329875,16500,-110.0
1697719935.357008,17000,-571.0
1697721733.4005544,17500,-1024.0
1697723485.6675613,18000,-1482.0
1697724948.731387,18432,-1883.0
1697725183.299004,18500,-63.0
1697726927.4477367,19000,-527.0
1697728685.443815,19500,-993.0
1697730396.1542847,20000,-1453.0
1697732082.357958,20480,-1895.0
1697732151.303907,20500,-17.0
1697733953.068721,21000,-477.0
1697735683.9693034,21500,-945.0
1697737406.1435678,22000,-1409.0
1697739170.2839065,22500,-1872.0
1697739257.152078,22528,-1900.0
1697741079.444144,23000,-423.0
1697742820.629648,23500,-874.0
1697744297.3652358,24000,-1348.0
1697745802.9018328,24500,-1816.0
1697746045.966457,24576,-1887.0
