Wall time,Step,Value
1697670400.774911,2048,-140.46153259277344
1697676799.118363,4096,-140.77777099609375
1697683309.4593542,6144,-140.8249969482422
1697690091.0931003,8192,-140.1481475830078
1697697025.661313,10240,-140.1343231201172
1697704097.4903426,12288,-139.8518524169922
1697711022.0617976,14336,-139.68084716796875
1697717840.222238,16384,-139.7899932861328
1697724948.7313647,18432,-139.30999755859375
1697732082.3579452,20480,-139.2899932861328
1697739257.1520638,22528,-139.4199981689453
1697746045.9664447,24576,-139.3300018310547
