step,fitness,genome
0,"[1000000, 1000000]","[0.1, 0.001, 625957.3541983423, 18099.290013879436, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1791951.6878164029, 19885.292232487827, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1869139.2279134034, 15781.311096433388, 5e-10]"
0,"[1000000, 1000000]","[0.03966526965907434, 0.001, 476285.4878490903, 29936.10264480893, 7.5e-08]"
0,"[1000000, 1000000]","[0.0592216789950337, 0.001, 1480794.1931861457, 24294.537379599748, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 477886.3094001789, 14503.016478085789, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1392031.8059184519, 49789.683956380286, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 806142.795706787, 46515.644958373254, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 939441.2543193018, 33511.71156256193, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 1439780.0167403014, 14015.962657201124, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1699896.799067765, 1633.7199899873733, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 476359.7143110356, 27738.148302294958, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 836584.009250811, 8154.783316808898, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 321713.8664114308, 48107.03227108082, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1462537.4853507092, 15463.961811950194, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 857854.9531293926, 9149.99133620578, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 806142.8101611669, 46515.57715981912, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1340196.1986584472, 49111.646531317136, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1917831.7167860754, 4312.149696897915, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 476284.8742509521, 29935.650549163376, 7.5e-08]"
0,"[1000000, 1000000]","[0.04003171916913113, 0.0002, 1187291.3132624826, 16446.442433410266, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 889553.9410221375, 33171.44847041778, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1164727.4869692016, 48256.22087920992, 7.5e-08]"
0,"[1000000, 1000000]","[0.07554948710946419, 0.0002, 497030.93939167034, 41275.57891226214, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1699896.6057081101, 1633.840561323527, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 942955.7969092961, 36301.767915076154, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 544843.2292273331, 34202.98683672644, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1216820.379224953, 45028.22255160849, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1058666.429549681, 38371.68875220889, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 836585.0088236103, 8153.6644861067025, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.001, 1129040.9509189974, 34913.9325333404, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 476358.9126167927, 27738.927054982723, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.001, 674008.8483757812, 18495.707866771983, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1770696.0194013, 36523.402874986925, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 1647276.7860905668, 40174.396901512875, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 942955.4230831813, 36301.85675555179, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 674009.0705214336, 18496.193845844882, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1439779.6741968284, 14016.850798794323, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 429592.9382319157, 35603.67241542281, 5e-10]"
0,"[1000000, 1000000]","[0.1, 0.0002, 476285.6510934535, 29934.972642383033, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1929684.648173278, 4566.234075525863, 5e-10]"
0,"[1000000, 1000000]","[0.07249053720273169, 0.0002, 476285.4943427345, 29935.029326846226, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1058666.5880075938, 38370.95622784671, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1869140.0193573076, 15780.54410606447, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.001, 1058666.3408885694, 38371.21606321437, 7.5e-08]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1929683.6051233895, 4564.722827288633, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.001, 476285.66932226066, 29936.421846965826, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 1647275.613275435, 40174.43941694967, 7.5e-08]"
0,"[1000000, 1000000]","[0.1, 0.0002, 1462537.8359176475, 15463.699822799485, 5e-10]"
0,"[1000000, 1000000]","[0.01, 0.0002, 857855.42836666, 9148.81786705519, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 942956.0554751892, 36302.52444960786, 7.5e-08]"
1,"[1000000, 1000000]","[0.1, 0.001, 1058666.6776503946, 38372.299397845774, 5e-10]"
1,"[1000000, 1000000]","[0.01, 0.001, 1869139.7809413017, 15780.329663576766, 7.5e-08]"
